#	520230	520234	0.000
NCHR	0.6110	0.6163	P
KEMF	0.0460	0.9383	P
ENWF	0.8260	0.9339	S
ENWF	0.2610	0.9957	P
NCHR	1.1860	0.3147	S
KEMO	-0.4190	0.9591	P
KEMO	-0.3740	0.6914	S
KEMF	0.0360	0.8815	S
#	520230	520238	0.000
NCHR	0.4600	0.9934	P
KEMF	0.2200	0.9964	P
ENWF	1.0500	0.9979	S
ENWF	0.4400	0.9999	P
NCHR	1.0350	0.9653	S
KEMF	0.2400	0.9873	S
#	520230	520239	0.000
NCHR	0.2330	0.9949	P
ENWF	0.8480	0.9982	S
ENWF	0.1980	0.9998	P
NCHR	0.8880	0.9813	S
KEMF	0.0230	0.9884	S
KEMO	0.2680	0.7814	S
#	520230	520240	0.000
NCHR	0.4660	0.9940	P
KEMF	0.2460	0.9965	P
ENWF	0.9760	0.9983	S
ENWF	0.4160	0.9998	P
NCHR	1.0060	0.9824	S
KEMF	0.3960	0.9906	S
#	520230	520241	0.000
NCHR	0.4620	0.9942	P
KEMF	0.2170	0.9934	P
ENWF	0.8670	0.9982	S
ENWF	0.4420	0.9998	P
NCHR	1.0370	0.9679	S
KEMF	0.3720	0.9784	S
KEMO	-0.5430	0.7906	S
#	520230	520245	0.000
KEMF	0.4460	0.9971	P
ENWF	0.6660	0.9973	S
ENWF	0.2610	0.9998	P
NCHR	0.2910	0.9908	S
KEMO	-0.1490	0.9626	P
KEMO	-0.0640	0.7803	S
KEMF	0.2010	0.9876	S
#	520230	520246	0.000
NCHR	0.1630	0.9941	P
KEMF	0.2230	0.9937	P
ENWF	0.8280	0.9971	S
ENWF	0.3630	0.9998	P
NCHR	0.4480	0.9889	S
KEMO	0.0430	0.9635	P
KEMO	0.1530	0.7818	S
KEMF	0.3080	0.9856	S
#	520230	520247	0.000
NCHR	0.1150	0.9784	P
KEMF	0.2450	0.9225	P
ENWF	0.9900	0.8653	S
ENWF	0.3700	0.9795	P
NCHR	0.5250	0.8683	S
KEMO	0.0850	0.8565	P
KEMO	0.1400	0.5676	S
KEMF	0.4450	0.9024	S
#	520230	520248	0.000
KEMF	0.2390	0.9965	P
ENWF	0.9090	0.9990	S
ENWF	0.3690	0.9998	P
NCHR	0.4490	0.9905	S
KEMO	0.0390	0.9642	P
KEMO	0.0240	0.8015	S
KEMF	0.3640	0.9906	S
#	520230	520249	0.000
NCHR	0.1500	0.9945	P
KEMF	0.2650	0.9952	P
ENWF	0.8400	0.9971	S
ENWF	0.3750	0.9998	P
NCHR	0.4850	0.9884	S
KEMO	0.0200	0.9606	P
KEMO	0.1800	0.7631	S
KEMF	0.4100	0.9872	S
#	520230	520250	0.000
ENWF	0.8040	0.9971	S
ENWF	0.3240	0.9998	P
NCHR	0.4590	0.9897	S
KEMO	0.0240	0.9617	P
KEMF	1.0390	0.9863	S
#	520230	520253	0.000
NCHR	0.0950	0.9947	P
KEMF	0.2900	0.9938	P
ENWF	0.9200	0.9982	S
NCHR	0.4400	0.9880	S
KEMO	0.1450	0.9617	P
KEMO	0.2550	0.7883	S
KEMF	0.5400	0.9841	S
#	520230	520254	0.000
NCHR	0.0200	0.9939	P
KEMF	0.4650	0.9777	P
ENWF	0.6550	0.9959	S
ENWF	0.1900	0.9998	P
NCHR	0.4100	0.9705	S
KEMO	0.0850	0.9608	P
KEMO	0.1550	0.7989	S
KEMF	0.4250	0.9729	S
#	520230	520257	0.000
NCHR	0.1900	0.9896	P
KEMF	0.2700	0.9571	P
ENWF	0.9500	0.9922	S
ENWF	0.5050	0.9989	P
NCHR	0.6300	0.9565	S
KEMO	-0.0250	0.9645	P
KEMO	-0.0750	0.7514	S
KEMF	0.3900	0.8686	S
#	520230	520259	0.000
KEMF	0.0950	0.9932	P
ENWF	1.3000	0.9967	S
ENWF	0.6750	0.9994	P
NCHR	0.3350	0.9882	S
KEMF	-0.1600	0.9864	S
#	520230	520261	0.000
KEMF	-0.1230	0.9805	S
NCHR	0.2620	0.9833	S
KEMF	-0.0230	0.9905	P
ENWF	1.2120	0.9832	S
#	520230	520263	0.000
KEMF	-0.2270	0.9917	S
KEMO	0.7230	0.6697	S
KEMF	-0.1970	0.9924	P
