#	520230	520234	0.000
ENWF	0.2610	0.9996	P
NCHR	0.6110	0.8006	P
NCHR	0.8260	0.5546	S
ENWF	0.8260	0.9718	S
KEMF	0.0360	0.9300	S
KEMO	-0.3740	0.7506	S
KEMO	-0.4190	0.9982	P
KEMF	0.0460	0.9959	P
#	520230	520238	0.000
ENWF	0.4400	0.9999	P
NCHR	0.4600	0.9988	P
NCHR	1.0350	0.9738	S
ENWF	1.0500	0.9984	S
KEMF	0.2400	0.9902	S
KEMF	0.2200	0.9994	P
#	520230	520239	0.000
ENWF	0.1980	0.9999	P
NCHR	0.2330	0.9989	P
NCHR	0.8880	0.9867	S
ENWF	0.8480	0.9985	S
KEMF	0.0230	0.9908	S
KEMO	0.2680	0.7653	S
#	520230	520240	0.000
ENWF	0.4160	0.9999	P
NCHR	0.4660	0.9988	P
NCHR	1.0060	0.9895	S
ENWF	0.9760	0.9987	S
KEMF	0.3960	0.9934	S
KEMF	0.2460	0.9996	P
#	520230	520241	0.000
ENWF	0.4420	0.9999	P
NCHR	0.4620	0.9988	P
NCHR	1.0370	0.9762	S
ENWF	0.8670	0.9985	S
KEMF	0.3720	0.9841	S
KEMO	-0.5430	0.7813	S
KEMF	0.2170	0.9988	P
#	520230	520245	0.000
ENWF	0.2610	1.0000	P
NCHR	0.2910	0.9952	S
ENWF	0.6660	0.9979	S
KEMF	0.2010	0.9920	S
KEMO	-0.0640	0.7738	S
KEMO	-0.1490	0.9991	P
KEMF	0.4460	0.9995	P
#	520230	520246	0.000
ENWF	0.3630	0.9999	P
NCHR	0.1630	0.9986	P
NCHR	0.4480	0.9934	S
ENWF	0.8280	0.9977	S
KEMF	0.3080	0.9885	S
KEMO	0.1530	0.7701	S
KEMO	0.0430	0.9993	P
KEMF	0.2230	0.9995	P
#	520230	520247	0.000
ENWF	0.3700	0.9961	P
NCHR	0.1150	0.9929	P
NCHR	0.5250	0.8824	S
ENWF	0.9900	0.8924	S
KEMF	0.4450	0.9260	S
KEMO	0.1350	0.6136	S
KEMO	0.0850	0.9926	P
KEMF	0.2450	0.9573	P
#	520230	520248	0.000
ENWF	0.3690	0.9999	P
NCHR	0.4490	0.9948	S
ENWF	0.9090	0.9994	S
KEMF	0.3640	0.9929	S
KEMO	0.0240	0.7940	S
KEMO	0.0390	0.9993	P
KEMF	0.2390	0.9995	P
#	520230	520249	0.000
ENWF	0.3750	0.9999	P
NCHR	0.1500	0.9990	P
NCHR	0.4850	0.9937	S
ENWF	0.8400	0.9976	S
KEMF	0.4100	0.9904	S
KEMO	0.1800	0.7484	S
KEMO	0.0200	0.9992	P
KEMF	0.2650	0.9996	P
#	520230	520250	0.000
ENWF	0.3240	0.9999	P
NCHR	0.4590	0.9943	S
ENWF	0.8040	0.9976	S
KEMF	1.0390	0.9935	S
KEMO	0.0240	0.9995	P
#	520230	520253	0.000
NCHR	0.0950	0.9988	P
NCHR	0.4400	0.9937	S
ENWF	0.9200	0.9988	S
KEMF	0.5400	0.9868	S
KEMO	0.2550	0.7824	S
KEMO	0.1450	0.9989	P
KEMF	0.2900	0.9991	P
#	520230	520254	0.000
ENWF	0.1900	0.9999	P
NCHR	0.0200	0.9986	P
NCHR	0.4100	0.9776	S
ENWF	0.6550	0.9965	S
KEMF	0.4250	0.9787	S
KEMO	0.1550	0.8049	S
KEMO	0.0850	0.9960	P
KEMF	0.4650	0.9989	P
#	520230	520257	0.000
ENWF	0.5050	0.9993	P
NCHR	0.1900	0.9986	P
NCHR	0.6300	0.9705	S
ENWF	0.9500	0.9936	S
KEMF	0.3900	0.8702	S
KEMO	-0.0750	0.7325	S
KEMO	-0.0250	0.9992	P
KEMF	0.2700	0.9923	P
#	520230	520259	0.000
ENWF	0.6750	0.9998	P
NCHR	0.3350	0.9940	S
ENWF	1.3000	0.9977	S
KEMF	-0.1600	0.9887	S
KEMF	0.0950	0.9996	P
#	520230	520261	0.000
ENWF	1.2120	0.9863	S
NCHR	0.2620	0.9907	S
KEMF	-0.0230	0.9997	P
KEMF	-0.1230	0.9843	S
#	520230	520263	0.000
ENWF	0.2980	0.9981	S
KEMO	0.7230	0.6630	S
KEMF	-0.1970	0.9992	P
KEMF	-0.2270	0.9937	S
#	520230	520266	0.000
ENWF	0.1130	1.0000	P
NCHR	0.1130	0.9988	P
NCHR	0.4380	0.9947	S
ENWF	0.6680	0.9976	S
KEMF	0.4830	0.9933	S
KEMO	0.3580	0.7466	S
KEMO	0.1080	0.9992	P
KEMF	0.2380	0.9997	P
#	520230	520267	0.000
ENWF	0.1960	1.0000	P
NCHR	-0.0090	0.9988	P
NCHR	0.3960	0.9957	S
ENWF	0.7160	0.9980	S
KEMO	0.2910	0.7406	S
#	520230	520268	0.000
ENWF	-0.0040	0.9999	P
NCHR	-0.0990	0.9966	S
ENWF	0.3860	0.9981	S
KEMF	0.2510	0.9899	S
KEMO	0.5110	0.7817	S
KEMF	0.0460	0.9997	P
#	520230	520269	0.000
ENWF	0.1760	0.9999	P
NCHR	-0.0040	0.9989	P
NCHR	0.4360	0.9953	S
ENWF	0.7410	0.9937	S
KEMF	0.4860	0.9891	S
KEMO	0.2910	0.7014	S
KEMO	0.1060	0.9994	P
#	520230	520270	0.000
ENWF	0.1160	1.0000	P
NCHR	0.0760	0.9926	S
ENWF	0.6160	0.9996	S
KEMF	0.6210	0.9930	S
KEMO	0.1760	0.7887	S
#	520230	520272	0.000
ENWF	0.2140	0.9998	P
NCHR	0.3140	0.9975	P
NCHR	0.8290	0.9768	S
ENWF	0.6140	0.9981	S
KEMF	0.1590	0.9913	S
KEMO	-0.2210	0.9992	P
KEMF	0.0240	0.9996	P
#	520230	520273	0.000
ENWF	-0.1130	0.9999	P
NCHR	0.2070	0.9965	P
NCHR	0.6420	0.9892	S
ENWF	0.1320	0.9985	S
KEMF	-1.2580	0.9935	S
#	520230	520274	0.000
ENWF	-0.5770	0.9998	P
NCHR	-0.5020	0.9971	P
NCHR	-0.6820	0.7912	S
ENWF	-0.7420	0.9970	S
KEMF	-1.9320	0.9924	S
KEMO	-2.5320	0.7698	S
KEMO	-1.3970	0.9994	P
KEMF	-1.0370	0.9997	P
#	520230	520280	0.000
ENWF	-0.7000	0.9999	P
NCHR	-0.6250	0.9987	P
NCHR	-0.7700	0.8595	S
ENWF	-0.8600	0.9989	S
KEMF	-2.0800	0.9916	S
KEMO	-2.8700	0.7620	S
KEMO	-1.4950	0.9994	P
#	520230	520281	0.000
ENWF	-0.5250	1.0000	P
NCHR	-0.4350	0.9987	P
NCHR	-0.5900	0.7920	S
ENWF	-0.6750	0.9980	S
KEMF	-1.7950	0.9910	S
KEMO	-2.4050	0.7577	S
KEMF	-0.9500	0.9996	P
#	520230	520282	0.000
ENWF	-0.4900	0.9999	P
NCHR	-0.4100	0.9983	P
NCHR	-0.6050	0.8308	S
ENWF	-0.6450	0.9982	S
KEMF	-1.8000	0.9889	S
KEMO	-2.3950	0.7843	S
KEMF	-1.1450	0.9997	P
#	520230	520284	0.000
ENWF	-0.4570	0.9999	P
NCHR	-0.3820	0.9986	P
NCHR	-0.5720	0.9680	S
ENWF	-0.4920	0.9987	S
KEMF	-1.8020	0.9939	S
KEMO	-2.4120	0.7764	S
#	520230	520285	0.000
ENWF	-0.5370	0.9999	P
NCHR	-0.4620	0.9985	P
NCHR	-0.6270	0.9102	S
ENWF	-0.6920	0.9989	S
KEMF	-1.8720	0.9942	S
KEMO	-2.6570	0.8012	S
#	520230	520286	0.000
ENWF	-0.7730	0.9979	S
NCHR	-0.4930	0.9988	P
NCHR	-0.6530	0.9861	S
KEMO	-2.7480	0.7739	S
#	520230	520287	0.000
ENWF	-0.6010	0.9999	P
NCHR	-0.4910	0.9991	P
NCHR	-0.6860	0.6817	S
ENWF	-0.7510	0.9947	S
KEMF	-2.0360	0.9890	S
KEMO	-2.5410	0.7691	S
#	520230	520288	0.000
ENWF	-0.5320	1.0000	P
NCHR	-0.5120	0.9988	P
NCHR	-0.6920	0.7464	S
ENWF	-0.7520	0.9973	S
KEMF	-1.9020	0.9856	S
KEMO	-2.5420	0.7656	S
KEMF	-1.0620	0.9996	P
#	520230	520289	0.000
ENWF	-0.4890	0.9999	P
NCHR	-0.3990	0.9980	P
NCHR	-0.4190	0.7160	S
ENWF	-0.6340	0.9950	S
KEMF	-1.8090	0.9908	S
KEMO	-2.4190	0.7622	S
KEMO	-1.2790	0.9991	P
KEMF	-0.9540	0.9997	P
#	520230	520290	0.000
ENWF	-0.8070	0.9942	S
NCHR	-0.5020	0.9984	P
NCHR	-0.6770	0.9521	S
KEMF	-1.8720	0.9919	S
#	520230	520292	0.000
NCHR	0.3210	0.9988	P
NCHR	0.8860	0.9939	S
ENWF	1.2910	0.9985	S
KEMF	-0.1290	0.9931	S
KEMF	0.0060	0.9997	P
#	520230	520295	0.000
ENWF	-0.5450	0.9998	P
NCHR	-0.4700	0.9962	P
NCHR	-0.5550	0.6328	S
ENWF	-0.6950	0.9920	S
KEMF	-1.9150	0.9861	S
KEMO	-2.5350	0.7878	S
KEMF	-1.0250	0.9986	P
#	520230	520296	0.000
NCHR	0.5070	0.9967	P
NCHR	1.2820	0.9497	S
ENWF	1.1470	0.9954	S
KEMF	0.0220	0.9939	S
KEMO	-0.2280	0.7951	S
#	520230	520297	0.000
ENWF	-0.5150	0.9969	P
NCHR	-0.5600	0.9600	P
NCHR	-1.1150	-0.7127	S
ENWF	-0.8250	0.8796	S
KEMF	-2.0350	0.8972	S
KEMO	-2.4950	0.6648	S
KEMO	-1.4050	0.9974	P
KEMF	-1.1300	0.9971	P
#	520230	520299	0.000
ENWF	-0.4770	0.9994	P
NCHR	-0.4070	0.9944	P
NCHR	-0.9270	-0.6778	S
ENWF	-0.6370	0.9750	S
KEMF	-1.8520	0.9739	S
KEMO	-2.3520	0.7310	S
#	520230	520300	0.000
ENWF	-0.4490	0.9998	P
NCHR	-0.3640	0.9976	P
NCHR	-0.4790	0.7992	S
ENWF	-0.5640	0.9957	S
KEMF	-1.4390	0.9934	S
KEMF	-0.8990	0.9997	P
#	520230	520301	0.000
ENWF	0.1470	0.9998	P
NCHR	-0.0330	0.9982	P
NCHR	0.2970	0.9921	S
ENWF	0.9070	0.9983	S
KEMF	0.3820	0.9652	S
KEMO	0.1620	0.7733	S
KEMO	0.2070	0.9989	P
KEMF	0.1420	0.9975	P
#	520230	520302	0.000
ENWF	-0.4870	1.0000	P
NCHR	-0.4020	0.9988	P
NCHR	-0.5870	0.9254	S
ENWF	-0.6320	0.9991	S
KEMF	-1.7220	0.9942	S
KEMO	-2.3670	0.7709	S
KEMF	-0.9570	0.9996	P
#	520230	520304	0.000
ENWF	-0.5600	0.9996	P
NCHR	-0.6050	0.9947	P
NCHR	-1.1300	-0.6737	S
ENWF	-0.8450	0.9554	S
KEMF	-2.0100	0.9661	S
KEMO	-2.6100	0.7753	S
#	520230	520306	0.000
ENWF	-0.5680	1.0000	P
NCHR	-0.4630	0.9993	P
NCHR	-0.5880	0.9365	S
ENWF	-0.7080	0.9990	S
KEMF	-1.9680	0.9911	S
KEMO	-2.6280	0.7516	S
#	520230	520307	0.000
NCHR	0.1150	0.9991	P
NCHR	0.2100	0.9925	S
ENWF	0.3900	0.9985	S
KEMF	0.1850	0.9912	S
KEMO	0.0500	0.7093	S
KEMO	-0.0400	0.9992	P
KEMF	0.1150	0.9997	P
#	520230	520308	0.000
ENWF	-0.1600	0.9999	P
NCHR	-0.1150	0.9990	P
NCHR	0.4100	0.9913	S
ENWF	-0.1400	0.9982	S
KEMF	-1.2600	0.9926	S
#	520230	520309	0.000
ENWF	-0.1030	1.0000	P
NCHR	0.1470	0.9993	P
NCHR	0.4520	0.9512	S
ENWF	-0.5080	0.9987	S
KEMF	-0.9430	0.9919	S
KEMO	-1.4830	0.7701	S
KEMO	-1.0030	0.9994	P
KEMF	-0.5380	0.9996	P
#	520230	520310	0.000
ENWF	-0.0530	0.9998	P
NCHR	0.2870	0.9923	P
NCHR	0.2470	-0.5636	S
ENWF	0.1620	0.9984	S
KEMF	-0.8080	0.9725	S
KEMO	-1.5280	0.7609	S
KEMO	-0.8430	0.9994	P
KEMF	-0.4030	0.9978	P
#	520230	520311	0.000
NCHR	-0.1130	0.9987	P
NCHR	0.1720	0.9895	S
KEMF	0.3020	0.9933	S
KEMO	0.3270	0.7659	S
KEMF	0.3920	0.9995	P
#	520230	520313	0.000
ENWF	0.1100	0.9999	P
NCHR	0.4750	0.9922	S
