#	520230	520234	0.000
ENWF	-6786.1300	0.9996	P
NCHR	-6785.7800	0.8006	P
NCHR	-6785.5650	0.5546	S
ENWF	-6785.5650	0.9718	S
KEMF	-6786.3550	0.9300	S
KEMO	-6786.7650	0.7506	S
KEMO	-6786.8100	0.9982	P
KEMF	-6786.3450	0.9959	P
#	520230	520238	0.000
ENWF	-19414.7000	0.9999	P
NCHR	-19414.6800	0.9988	P
NCHR	-19414.1050	0.9738	S
ENWF	-19414.0900	0.9984	S
KEMF	-19414.9000	0.9902	S
KEMF	-19414.9200	0.9994	P
#	520230	520239	0.000
ENWF	-19715.8150	0.9999	P
NCHR	-19715.7800	0.9989	P
NCHR	-19715.1250	0.9867	S
ENWF	-19715.1650	0.9985	S
KEMF	-19715.9900	0.9908	S
KEMO	-19715.7450	0.7653	S
#	520230	520240	0.000
ENWF	-19947.3150	0.9999	P
NCHR	-19947.2650	0.9988	P
NCHR	-19946.7250	0.9895	S
ENWF	-19946.7550	0.9987	S
KEMF	-19947.3350	0.9934	S
KEMF	-19947.4850	0.9996	P
#	520230	520241	0.000
ENWF	-20490.9350	0.9999	P
NCHR	-20490.9150	0.9988	P
NCHR	-20490.3400	0.9762	S
ENWF	-20490.5100	0.9985	S
KEMF	-20491.0050	0.9841	S
KEMO	-20491.9200	0.7813	S
KEMF	-20491.1600	0.9988	P
#	520230	520245	0.000
ENWF	-26462.6050	1.0000	P
NCHR	-26462.5750	0.9952	S
ENWF	-26462.2000	0.9979	S
KEMF	-26462.6650	0.9920	S
KEMO	-26462.9300	0.7738	S
KEMO	-26463.0150	0.9991	P
KEMF	-26462.4200	0.9995	P
#	520230	520246	0.000
ENWF	-26671.4650	0.9999	P
NCHR	-26671.6650	0.9986	P
NCHR	-26671.3800	0.9934	S
ENWF	-26671.0000	0.9977	S
KEMF	-26671.5200	0.9885	S
KEMO	-26671.6750	0.7701	S
KEMO	-26671.7850	0.9993	P
KEMF	-26671.6050	0.9995	P
#	520230	520247	0.000
ENWF	-26690.0650	0.9961	P
NCHR	-26690.3200	0.9929	P
NCHR	-26689.9100	0.8824	S
ENWF	-26689.4450	0.8924	S
KEMF	-26689.9900	0.9260	S
KEMO	-26690.3000	0.6136	S
KEMO	-26690.3500	0.9926	P
KEMF	-26690.1900	0.9573	P
#	520230	520248	0.000
ENWF	-26718.9150	0.9999	P
NCHR	-26718.8350	0.9948	S
ENWF	-26718.3750	0.9994	S
KEMF	-26718.9200	0.9929	S
KEMO	-26719.2600	0.7940	S
KEMO	-26719.2450	0.9993	P
KEMF	-26719.0450	0.9995	P
#	520230	520249	0.000
ENWF	-26987.9850	0.9999	P
NCHR	-26988.2100	0.9990	P
NCHR	-26987.8750	0.9937	S
ENWF	-26987.5200	0.9976	S
KEMF	-26987.9500	0.9904	S
KEMO	-26988.1800	0.7484	S
KEMO	-26988.3400	0.9992	P
KEMF	-26988.0950	0.9996	P
#	520230	520250	0.000
ENWF	-27725.4000	0.9999	P
NCHR	-27725.2650	0.9943	S
ENWF	-27724.9200	0.9976	S
KEMF	-27724.6850	0.9935	S
KEMO	-27725.7000	0.9995	P
#	520230	520253	0.000
NCHR	-29422.8000	0.9988	P
NCHR	-29422.4550	0.9937	S
ENWF	-29421.9750	0.9988	S
KEMF	-29422.3550	0.9868	S
KEMO	-29422.6400	0.7824	S
KEMO	-29422.7500	0.9989	P
KEMF	-29422.6050	0.9991	P
#	520230	520254	0.000
ENWF	-29767.1950	0.9999	P
NCHR	-29767.3650	0.9986	P
NCHR	-29766.9750	0.9776	S
ENWF	-29766.7300	0.9965	S
KEMF	-29766.9600	0.9787	S
KEMO	-29767.2300	0.8049	S
KEMO	-29767.3000	0.9960	P
KEMF	-29766.9200	0.9989	P
#	520230	520257	0.000
ENWF	-50085.8350	0.9993	P
NCHR	-50086.1500	0.9986	P
NCHR	-50085.7100	0.9705	S
ENWF	-50085.3900	0.9936	S
KEMF	-50085.9500	0.8702	S
KEMO	-50086.4150	0.7325	S
KEMO	-50086.3650	0.9992	P
KEMF	-50086.0700	0.9923	P
#	520230	520259	0.000
ENWF	-71159.9350	0.9998	P
NCHR	-71160.2750	0.9940	S
ENWF	-71159.3100	0.9977	S
KEMF	-71160.7700	0.9887	S
KEMF	-71160.5150	0.9996	P
#	520230	520261	0.000
ENWF	-71173.7450	0.9863	S
NCHR	-71174.6950	0.9907	S
KEMF	-71174.9800	0.9997	P
KEMF	-71175.0800	0.9843	S
#	520230	520263	0.000
ENWF	-73524.0200	0.9981	S
KEMO	-73523.5950	0.6630	S
KEMF	-73524.5150	0.9992	P
KEMF	-73524.5450	0.9937	S
#	520230	520266	0.000
ENWF	-101969.8750	1.0000	P
NCHR	-101969.8750	0.9988	P
NCHR	-101969.5500	0.9947	S
ENWF	-101969.3200	0.9976	S
KEMF	-101969.5050	0.9933	S
KEMO	-101969.6300	0.7466	S
KEMO	-101969.8800	0.9992	P
KEMF	-101969.7500	0.9997	P
#	520230	520267	0.000
ENWF	-102272.4750	1.0000	P
NCHR	-102272.6800	0.9988	P
NCHR	-102272.2750	0.9957	S
ENWF	-102271.9550	0.9980	S
KEMO	-102272.3800	0.7406	S
#	520230	520268	0.000
ENWF	-102281.5100	0.9999	P
NCHR	-102281.6050	0.9966	S
ENWF	-102281.1200	0.9981	S
KEMF	-102281.2550	0.9899	S
KEMO	-102280.9950	0.7817	S
KEMF	-102281.4600	0.9997	P
#	520230	520269	0.000
ENWF	-102368.3400	0.9999	P
NCHR	-102368.5200	0.9989	P
NCHR	-102368.0800	0.9953	S
ENWF	-102367.7750	0.9937	S
KEMF	-102368.0300	0.9891	S
KEMO	-102368.2250	0.7014	S
KEMO	-102368.4100	0.9994	P
#	520230	520270	0.000
ENWF	-102515.7600	1.0000	P
NCHR	-102515.8000	0.9926	S
ENWF	-102515.2600	0.9996	S
KEMF	-102515.2550	0.9930	S
KEMO	-102515.7000	0.7887	S
#	520230	520272	0.000
ENWF	-106757.9150	0.9998	P
NCHR	-106757.8150	0.9975	P
NCHR	-106757.3000	0.9768	S
ENWF	-106757.5150	0.9981	S
KEMF	-106757.9700	0.9913	S
KEMO	-106758.3500	0.9992	P
KEMF	-106758.1050	0.9996	P
#	520230	520273	0.000
ENWF	-107883.1000	0.9999	P
NCHR	-107882.7800	0.9965	P
NCHR	-107882.3450	0.9892	S
ENWF	-107882.8550	0.9985	S
KEMF	-107884.2450	0.9935	S
#	520230	520274	0.000
ENWF	-111515.4650	0.9998	P
NCHR	-111515.3900	0.9971	P
NCHR	-111515.5700	0.7912	S
ENWF	-111515.6300	0.9970	S
KEMF	-111516.8200	0.9924	S
KEMO	-111517.4200	0.7698	S
KEMO	-111516.2850	0.9994	P
KEMF	-111515.9250	0.9997	P
#	520230	520280	0.000
ENWF	-112561.7050	0.9999	P
NCHR	-112561.6300	0.9987	P
NCHR	-112561.7750	0.8595	S
ENWF	-112561.8650	0.9989	S
KEMF	-112563.0850	0.9916	S
KEMO	-112563.8750	0.7620	S
KEMO	-112562.5000	0.9994	P
#	520230	520281	0.000
ENWF	-112621.4950	1.0000	P
NCHR	-112621.4050	0.9987	P
NCHR	-112621.5600	0.7920	S
ENWF	-112621.6450	0.9980	S
KEMF	-112622.7650	0.9910	S
KEMO	-112623.3750	0.7577	S
KEMF	-112621.9200	0.9996	P
#	520230	520282	0.000
ENWF	-112779.6950	0.9999	P
NCHR	-112779.6150	0.9983	P
NCHR	-112779.8100	0.8308	S
ENWF	-112779.8500	0.9982	S
KEMF	-112781.0050	0.9889	S
KEMO	-112781.6000	0.7843	S
KEMF	-112780.3500	0.9997	P
#	520230	520284	0.000
ENWF	-116671.1050	0.9999	P
NCHR	-116671.0300	0.9986	P
NCHR	-116671.2200	0.9680	S
ENWF	-116671.1400	0.9987	S
KEMF	-116672.4500	0.9939	S
KEMO	-116673.0600	0.7764	S
#	520230	520285	0.000
ENWF	-116705.6450	0.9999	P
NCHR	-116705.5700	0.9985	P
NCHR	-116705.7350	0.9102	S
ENWF	-116705.8000	0.9989	S
KEMF	-116706.9800	0.9942	S
KEMO	-116707.7650	0.8012	S
#	520230	520286	0.000
ENWF	-116810.8250	0.9979	S
NCHR	-116810.5450	0.9988	P
NCHR	-116810.7050	0.9861	S
KEMO	-116812.8000	0.7739	S
#	520230	520287	0.000
ENWF	-116814.3050	0.9999	P
NCHR	-116814.1950	0.9991	P
NCHR	-116814.3900	0.6817	S
ENWF	-116814.4550	0.9947	S
KEMF	-116815.7400	0.9890	S
KEMO	-116816.2450	0.7691	S
#	520230	520288	0.000
ENWF	-117042.2150	1.0000	P
NCHR	-117042.1950	0.9988	P
NCHR	-117042.3750	0.7464	S
ENWF	-117042.4350	0.9973	S
KEMF	-117043.5850	0.9856	S
KEMO	-117044.2250	0.7656	S
KEMF	-117042.7450	0.9996	P
#	520230	520289	0.000
ENWF	-117360.5000	0.9999	P
NCHR	-117360.4100	0.9980	P
NCHR	-117360.4300	0.7160	S
ENWF	-117360.6450	0.9950	S
KEMF	-117361.8200	0.9908	S
KEMO	-117362.4300	0.7622	S
KEMO	-117361.2900	0.9991	P
KEMF	-117360.9650	0.9997	P
#	520230	520290	0.000
ENWF	-117366.8750	0.9942	S
NCHR	-117366.5700	0.9984	P
NCHR	-117366.7450	0.9521	S
KEMF	-117367.9400	0.9919	S
#	520230	520292	0.000
NCHR	-121009.9600	0.9988	P
NCHR	-121009.3950	0.9939	S
ENWF	-121008.9900	0.9985	S
KEMF	-121010.4100	0.9931	S
KEMF	-121010.2750	0.9997	P
#	520230	520295	0.000
ENWF	-132411.7000	0.9998	P
NCHR	-132411.6250	0.9962	P
NCHR	-132411.7100	0.6328	S
ENWF	-132411.8500	0.9920	S
KEMF	-132413.0700	0.9861	S
KEMO	-132413.6900	0.7878	S
KEMF	-132412.1800	0.9986	P
#	520230	520296	0.000
NCHR	-133158.4300	0.9967	P
NCHR	-133157.6550	0.9497	S
ENWF	-133157.7900	0.9954	S
KEMF	-133158.9150	0.9939	S
KEMO	-133159.1650	0.7951	S
#	520230	520297	0.000
ENWF	-135536.8050	0.9969	P
NCHR	-135536.8500	0.9600	P
NCHR	-135537.4050	-0.7127	S
ENWF	-135537.1150	0.8796	S
KEMF	-135538.3250	0.8972	S
KEMO	-135538.7850	0.6648	S
KEMO	-135537.6950	0.9974	P
KEMF	-135537.4200	0.9971	P
#	520230	520299	0.000
ENWF	-135758.0400	0.9994	P
NCHR	-135757.9700	0.9944	P
NCHR	-135758.4900	-0.6778	S
ENWF	-135758.2000	0.9750	S
KEMF	-135759.4150	0.9739	S
KEMO	-135759.9150	0.7310	S
#	520230	520300	0.000
ENWF	-136154.0950	0.9998	P
NCHR	-136154.0100	0.9976	P
NCHR	-136154.1250	0.7992	S
ENWF	-136154.2100	0.9957	S
KEMF	-136155.0850	0.9934	S
KEMF	-136154.5450	0.9997	P
#	520230	520301	0.000
ENWF	-143477.6750	0.9998	P
NCHR	-143477.8550	0.9982	P
NCHR	-143477.5250	0.9921	S
ENWF	-143476.9150	0.9983	S
KEMF	-143477.4400	0.9652	S
KEMO	-143477.6600	0.7733	S
KEMO	-143477.6150	0.9989	P
KEMF	-143477.6800	0.9975	P
#	520230	520302	0.000
ENWF	-146625.3700	1.0000	P
NCHR	-146625.2850	0.9988	P
NCHR	-146625.4700	0.9254	S
ENWF	-146625.5150	0.9991	S
KEMF	-146626.6050	0.9942	S
KEMO	-146627.2500	0.7709	S
KEMF	-146625.8400	0.9996	P
#	520230	520304	0.000
ENWF	-146636.0450	0.9996	P
NCHR	-146636.0900	0.9947	P
NCHR	-146636.6150	-0.6737	S
ENWF	-146636.3300	0.9554	S
KEMF	-146637.4950	0.9661	S
KEMO	-146638.0950	0.7753	S
#	520230	520306	0.000
ENWF	-146751.6050	1.0000	P
NCHR	-146751.5000	0.9993	P
NCHR	-146751.6250	0.9365	S
ENWF	-146751.7450	0.9990	S
KEMF	-146753.0050	0.9911	S
KEMO	-146753.6650	0.7516	S
#	520230	520307	0.000
NCHR	-151144.4750	0.9991	P
NCHR	-151144.3800	0.9925	S
ENWF	-151144.2000	0.9985	S
KEMF	-151144.4050	0.9912	S
KEMO	-151144.5400	0.7093	S
KEMO	-151144.6300	0.9992	P
KEMF	-151144.4750	0.9997	P
#	520230	520308	0.000
ENWF	-161345.0650	0.9999	P
NCHR	-161345.0200	0.9990	P
NCHR	-161344.4950	0.9913	S
ENWF	-161345.0450	0.9982	S
KEMF	-161346.1650	0.9926	S
#	520230	520309	0.000
ENWF	-162045.3600	1.0000	P
NCHR	-162045.1100	0.9993	P
NCHR	-162044.8050	0.9512	S
ENWF	-162045.7650	0.9987	S
KEMF	-162046.2000	0.9919	S
KEMO	-162046.7400	0.7701	S
KEMO	-162046.2600	0.9994	P
KEMF	-162045.7950	0.9996	P
#	520230	520310	0.000
ENWF	-162206.8200	0.9998	P
NCHR	-162206.4800	0.9923	P
NCHR	-162206.5200	-0.5636	S
ENWF	-162206.6050	0.9984	S
KEMF	-162207.5750	0.9725	S
KEMO	-162208.2950	0.7609	S
KEMO	-162207.6100	0.9994	P
KEMF	-162207.1700	0.9978	P
#	520230	520311	0.000
NCHR	-166851.0200	0.9987	P
NCHR	-166850.7350	0.9895	S
KEMF	-166850.6050	0.9933	S
KEMO	-166850.5800	0.7659	S
KEMF	-166850.5150	0.9995	P
#	520230	520313	0.000
ENWF	-170457.7000	0.9999	P
NCHR	-170457.3350	0.9922	S
ENWF	-170457.4100	0.9944	S
KEMF	-170458.6150	0.9934	S
KEMO	-170458.9950	0.7721	S
#	520230	520316	0.000
ENWF	-188892.8450	0.9999	P
NCHR	-188893.0300	0.9988	P
NCHR	-188892.6800	0.9926	S
ENWF	-188892.2050	0.9988	S
KEMF	-188892.6150	0.9899	S
KEMO	-188893.3500	0.9995	P
KEMF	-188893.0050	0.9992	P
#	520230	520317	0.000
ENWF	-188982.6800	0.9999	P
NCHR	-188982.9700	0.9975	P
NCHR	-188982.5150	0.9797	S
ENWF	-188982.1200	0.9990	S
KEMF	-188982.6850	0.9846	S
KEMO	-188983.1100	0.7790	S
KEMF	-188982.8400	0.9988	P
#	520230	520318	0.000
ENWF	-190887.3400	1.0000	P
NCHR	-190887.2800	0.9988	P
NCHR	-190886.9300	0.9951	S
ENWF	-190886.7100	0.9987	S
KEMF	-190887.5900	0.9937	S
KEMO	-190888.8050	0.7817	S
KEMF	-190887.5300	0.9998	P
#	520230	520320	0.000
ENWF	-191671.2100	0.9998	P
NCHR	-191671.1050	0.9981	P
NCHR	-191670.9100	0.6377	S
ENWF	-191671.1600	0.9967	S
KEMF	-191672.2050	0.9953	S
KEMF	-191671.6800	0.9992	P
#	520230	520323	0.000
ENWF	-191765.8050	0.9998	P
NCHR	-191765.6600	0.9976	P
NCHR	-191765.4650	0.6634	S
ENWF	-191765.7000	0.9964	S
KEMF	-191766.7800	0.9905	S
KEMF	-191766.3250	0.9993	P
#	520230	520324	0.000
ENWF	-191780.8700	0.9996	P
NCHR	-191780.6750	0.9975	P
NCHR	-191780.8500	0.5677	S
ENWF	-191780.6900	0.9910	S
KEMF	-191781.7650	0.9950	S
KEMO	-191782.8100	0.7728	S
KEMO	-191781.5500	0.9992	P
KEMF	-191781.2300	0.9992	P
#	520230	520325	0.000
ENWF	-194679.1500	0.9999	P
NCHR	-194678.9850	0.9989	P
NCHR	-194678.4750	0.9659	S
ENWF	-194678.5500	0.9987	S
KEMF	-194679.3200	0.9885	S
